iter	Passed	Remaining
531	5600	4926
532	5611	4917
533	5623	4907
534	5634	4897
535	5643	4885
536	5655	4875
537	5666	4865
538	5676	4854
539	5688	4845
540	5699	4835
541	5710	4825
542	5721	4815
543	5733	4806
544	5744	4795
545	5755	4785
546	5767	4776
547	5778	4766
548	5789	4755
549	5801	4746
550	5813	4737
551	5824	4727
552	5835	4716
553	5847	4707
554	5857	4696
555	5868	4686
556	5880	4677
557	5891	4666
558	5902	4656
559	5914	4646
560	5926	4637
561	5937	4627
562	5949	4617
563	5960	4607
564	5970	4597
565	5981	4586
566	5992	4576
567	6002	4565
568	6013	4555
569	6025	4545
570	6035	4534
571	6047	4525
572	6059	4515
573	6071	4505
574	6082	4495
575	6093	4485
576	6106	4476
577	6117	4466
578	6128	4456
579	6139	4446
580	6149	4435
581	6161	4425
582	6172	4414
583	6183	4404
584	6193	4393
585	6204	4383
586	6214	4372
587	6225	4361
588	6236	4351
589	6247	4341
590	6258	4330
591	6269	4320
592	6279	4309
593	6290	4299
594	6301	4289
595	6311	4278
596	6323	4268
597	6334	4258
598	6344	4247
599	6356	4237
600	6367	4227
601	6378	4216
602	6390	4207
603	6401	4197
604	6412	4186
605	6424	4176
606	6435	4166
607	6446	4156
608	6457	4146
609	6470	4136
610	6481	4126
611	6491	4115
612	6504	4106
613	6515	4095
614	6525	4084
615	6537	4075
616	6550	4066
617	6561	4055
618	6571	4045
619	6585	4036
620	6598	4026
621	6609	4016
622	6620	4006
623	6632	3996
624	6643	3985
625	6653	3975
626	6665	3965
627	6676	3954
628	6689	3945
629	6701	3935
630	6713	3926
631	6726	3916
632	6738	3906
633	6750	3897
634	6762	3887
635	6774	3877
636	6785	3866
637	6797	3857
638	6809	3846
639	6819	3836
640	6832	3826
641	6844	3816
642	6854	3805
643	6865	3795
644	6877	3785
645	6889	3775
646	6898	3764
647	6911	3754
648	6922	3744
649	6932	3732
650	6944	3723
651	6956	3712
652	6965	3701
653	6977	3691
654	6988	3681
655	6999	3670
656	7011	3660
657	7023	3650
658	7035	3640
659	7045	3629
660	7058	3619
661	7069	3609
662	7079	3598
663	7090	3588
664	7101	3577
665	7111	3566
666	7124	3556
667	7137	3547
668	7151	3538
669	7165	3529
670	7176	3518
671	7188	3508
672	7200	3498
673	7211	3487
674	7222	3477
675	7234	3467
676	7247	3457
677	7257	3446
678	7268	3436
679	7279	3425
680	7289	3414
681	7302	3404
682	7313	3394
683	7324	3384
684	7336	3373
685	7347	3363
686	7358	3352
687	7369	3341
688	7380	3331
689	7390	3320
690	7401	3309
691	7412	3299
692	7422	3288
693	7434	3277
694	7445	3267
695	7454	3256
696	7466	3245
697	7477	3235
698	7488	3224
699	7499	3214
700	7510	3203
701	7521	3192
702	7533	3182
703	7545	3172
704	7557	3162
705	7568	3151
706	7580	3141
707	7592	3131
708	7604	3120
709	7615	3110
710	7627	3100
711	7640	3090
712	7652	3080
713	7663	3069
714	7673	3058
715	7684	3047
716	7696	3037
717	7709	3027
718	7722	3018
719	7734	3007
720	7747	2997
721	7759	2987
722	7772	2977
723	7782	2966
724	7794	2956
725	7805	2945
726	7815	2934
727	7827	2924
728	7840	2914
729	7852	2904
730	7864	2894
731	7876	2883
732	7888	2873
733	7900	2863
734	7911	2852
735	7922	2841
736	7933	2831
737	7944	2820
738	7956	2809
739	7967	2799
740	7977	2788
741	7988	2777
742	7999	2767
743	8009	2755
744	8021	2745
745	8032	2734
746	8042	2723
747	8054	2713
748	8065	2702
749	8074	2691
750	8086	2681
751	8097	2670
752	8107	2659
753	8118	2648
754	8129	2637
755	8139	2627
756	8151	2616
757	8162	2606
758	8173	2595
759	8185	2584
760	8197	2574
761	8208	2563
762	8219	2553
763	8230	2542
764	8240	2531
765	8253	2521
766	8264	2510
767	8275	2499
768	8285	2488
769	8296	2478
770	8308	2467
771	8319	2457
772	8331	2446
773	8343	2436
774	8354	2425
775	8366	2415
776	8378	2404
777	8391	2394
778	8403	2384
779	8415	2373
780	8428	2363
781	8440	2352
782	8450	2342
783	8462	2331
784	8473	2320
785	8484	2310
786	8495	2299
787	8507	2288
788	8518	2278
789	8529	2267
790	8541	2256
791	8552	2246
792	8564	2235
793	8575	2225
794	8588	2214
795	8599	2203
796	8611	2193
797	8623	2182
798	8636	2172
799	8648	2162
800	8660	2151
801	8673	2141
802	8687	2131
803	8699	2120
804	8711	2110
805	8724	2099
806	8739	2090
807	8752	2079
808	8764	2069
809	8776	2058
810	8788	2048
811	8799	2037
812	8810	2026
813	8822	2015
814	8834	2005
815	8847	1995
816	8860	1984
817	8871	1973
818	8883	1963
819	8894	1952
820	8906	1941
821	8918	1931
822	8929	1920
823	8940	1909
824	8952	1898
825	8963	1888
826	8974	1877
827	8986	1866
828	8997	1856
829	9010	1845
830	9021	1834
831	9033	1824
832	9044	1813
833	9055	1802
834	9067	1791
835	9080	1781
836	9094	1771
837	9110	1761
838	9126	1751
839	9141	1741
840	9153	1730
841	9167	1720
842	9180	1709
843	9192	1699
844	9203	1688
845	9214	1677
846	9226	1666
847	9238	1656
848	9249	1645
849	9262	1634
850	9276	1624
851	9287	1613
852	9298	1602
853	9311	1591
854	9323	1581
855	9335	1570
856	9345	1559
857	9356	1548
858	9368	1537
859	9379	1526
860	9396	1517
861	9412	1506
862	9429	1496
863	9444	1486
864	9459	1476
865	9473	1465
866	9487	1455
867	9502	1445
868	9515	1434
869	9527	1423
870	9538	1412
871	9550	1401
872	9563	1391
873	9575	1380
874	9588	1369
875	9600	1359
876	9613	1348
877	9625	1337
878	9637	1326
879	9650	1316
880	9663	1305
881	9673	1294
882	9685	1283
883	9697	1272
884	9709	1261
885	9719	1250
886	9732	1239
887	9744	1229
888	9755	1218
889	9768	1207
890	9780	1196
891	9793	1185
892	9804	1174
893	9816	1163
894	9830	1153
895	9843	1142
896	9855	1131
897	9867	1120
898	9879	1109
899	9893	1099
900	9904	1088
901	9916	1077
902	9928	1066
903	9939	1055
904	9950	1044
905	9964	1033
906	9976	1022
907	9989	1012
908	10000	1001
909	10013	990
910	10025	979
911	10039	968
912	10055	958
913	10066	947
914	10078	936
915	10090	925
916	10102	914
917	10113	903
918	10126	892
919	10137	881
920	10148	870
921	10161	859
922	10173	848
923	10186	837
924	10196	826
925	10209	815
926	10221	804
927	10234	794
928	10244	782
929	10256	772
930	10269	761
931	10280	750
932	10291	739
933	10304	728
934	10315	717
935	10328	706
936	10340	695
937	10352	684
938	10365	673
939	10378	662
940	10390	651
941	10403	640
942	10418	629
943	10432	618
944	10445	607
945	10458	596
946	10471	586
947	10484	575
948	10497	564
949	10510	553
950	10521	542
951	10534	531
952	10547	520
953	10561	509
954	10573	498
955	10585	487
956	10599	476
957	10610	465
958	10623	454
959	10635	443
960	10649	432
961	10663	421
962	10676	410
963	10687	399
964	10700	388
965	10712	377
966	10724	365
967	10735	354
968	10747	343
969	10759	332
970	10771	321
971	10781	310
972	10792	299
973	10804	288
974	10815	277
975	10826	266
976	10837	255
977	10846	243
978	10856	232
979	10867	221
980	10876	210
981	10886	199
982	10896	188
983	10906	177
984	10916	166
985	10926	155
986	10936	144
987	10946	132
988	10956	121
989	10966	110
990	10976	99
991	10986	88
992	10997	77
993	11006	66
994	11016	55
995	11026	44
996	11036	33
997	11046	22
998	11055	11
999	11065	0
